id,name,lat,long,count,duration,q10_max,q50_max,q90_max,q10_min,q50_min,q90_min
748,CHM00056182,31.9,102.233,4.8,7.5,26.3,28.1,29.6,220.358,234.765,242.796
749,CHM00056257,32.65,103.567,5.4,9,19.1,21.6,22.5,175.462,18.123,187.432
750,CHM00056294,30,100.267,4,11,32.25,34.9,37.3,29.626,306.925,31.977
751,CHM00056444,30.667,104.017,5,8,22.1,23.1,25.5,18.961,19.773,20.159
752,CHM00056462,28.45,98.883,3.6,7,25.1,26.8,27.74,222.817,22.857,236.642
753,CHM00056492,29,101.5,3.2,12,33.65,36.9,38,301.151,324.795,333.334
754,CHM00056571,28.8,104.6,3.6,6.5,31.81,33.4,34,291.827,299.035,307.201
755,CHM00056651,27.9,102.267,4.2,8,26.86,27.6,28.4,238.828,24.426,248.778
756,CHM00056671,26.833,100.467,3.2,7.5,29,29.5,30.2,269.943,27.332,277.213
757,CHM00056739,26.65,102.25,3.6,6.5,27.43,28.35,29.3,253.787,25.775,262.264
758,CHM00056768,25.117,98.483,3.6,6,28.61,29.6,31.2,266.895,27.25,280.205
759,CHM00056778,25.017,101.517,2.6,7,27.78,29.3,30.3,260.862,26.911,27.773
760,CHM00056951,25.017,102.683,2.8,5.5,28.29,30.5,30.8,27.044,28.351,289.951
761,CHM00056954,23.95,100.217,1,5,32.5,32.5,32.8,30.192,30.7,31.56
762,CHM00056964,22.567,99.933,1.4,7,30.16,30.5,31.1,280.776,28.8,295.262
763,CHM00056985,22.767,100.983,1.6,6,30.83,32.8,32.9,294.056,29.857,303.641
764,CHM00057036,23.383,103.383,4,11,35.5,38.7,40.3,314.575,33.498,353.835
765,CHM00057067,34.3,108.933,3.6,8.5,32.76,37.2,38.66,30.296,319.365,335.995
766,CHM00057083,34.05,111.033,5.2,8,35.5,37,41.28,310.741,32.104,339.422
767,CHM00057127,34.717,113.65,3,16,32.3,36.1,38.3,29.567,30.683,32.069
768,CHM00057237,33.067,107.033,3.4,11,32.08,36.3,39.2,298.884,31.448,326.512
769,CHM00057265,32.067,108.033,4.2,9,34.98,38.3,38.6,323.324,33.455,34.115
770,CHM00057290,32.383,111.667,4.2,11,33.7,37.7,39.88,316.252,33.039,345.718
771,CHM00057297,33,114.017,3,14,34.5,37.3,39.2,31.591,32.405,34.496
772,CHM00057411,32.133,114.05,2.8,13.5,34.25,38.9,39.6,313.344,329.645,337.012
773,CHM00057447,30.8,106.083,4,13.5,35.55,38.4,38.8,314.205,33.253,338.295
774,CHM00057461,30.283,109.467,3.8,12,35.5,38.4,39.8,317.792,33.385,344.184
775,CHM00057494,30.7,111.3,3.6,11.5,35,37.8,39.6,323.167,33.966,347.971
776,CHM00057516,30.6,114.05,3.2,16.5,33.31,38.5,40,308.857,333.885,35.627
777,CHM00057633,29.583,106.467,3.2,10,32.15,35,36.4,290.274,307.115,310.747
778,CHM00057662,28.833,108.767,4.2,11,34.54,38.6,39.8,326.522,33.794,343.728
779,CHM00057687,29.05,111.683,3,15,34.9,38.2,40.6,32.38,33.558,35.926
780,CHM00057707,28.233,112.867,3,11,29.9,32.6,33.3,27.42,28.16,29.15
781,CHM00057745,27.3,105.233,4,9,33.85,36.9,37.85,314.785,326.355,337.565
782,CHM00057799,27.45,109.683,2.8,16,35.15,38.8,40.9,332.333,34.571,367.153
783,CHM00057816,27.117,114.967,4.2,8,29.5,32.7,33.74,277.122,28.763,291.446
784,CHM00057866,26.583,106.733,2.6,11,35,37.8,39.7,324.866,33.391,355.874
785,CHM00057902,26.233,111.617,3,7,31,31.6,32.7,27.542,28.292,29.046
786,CHM00057957,25.433,105.183,4,11.5,33.7,37.3,38.95,323.265,33.372,34.42
787,CHM00057993,25.333,110.3,4.2,9,35.62,38.3,40,336.276,34.737,36.196
788,CHM00058027,25.867,115,3.8,15,34.8,36.3,39.9,311.878,32.365,33.176
789,CHM00058040,34.283,117.15,3.6,14,33.2,36.5,39.5,288.835,30.459,318.488
790,CHM00058102,34.85,119.133,3.8,12,35.7,37.9,40.3,312.636,33.734,346.678
791,CHM00058221,33.883,115.767,3.4,15,34.38,37.7,39.76,318.154,33.444,341.778
792,CHM00058238,32.95,117.367,2.6,19,33.56,38.2,40,314.206,32.673,334.988
793,CHM00058251,31.933,118.9,3.2,15.5,33.23,37.25,38.8,287.413,31.588,322.748
794,CHM00058314,32.85,120.283,2.8,16,36.29,39,40.7,327.556,341.095,348.807
795,CHM00058321,31.4,116.333,3.6,13.5,33.43,37.85,40.3,312.432,331.145,337.927
796,CHM00058367,31.867,117.233,1,64,32.039,32.039,32.039,31.711,31.711,31.711
797,CHM00058424,31.167,121.433,2.4,23.5,35.8,38.3,40.9,324.219,34.034,347.494
798,CHM00058457,30.533,117.05,2.4,21,36.21,38.3,40.3,320.919,33.914,362.488
799,CHM00058477,30.233,120.167,2.2,26,33.32,36.6,38.3,300.378,31.352,329.332
800,CHM00058527,30.033,122.117,3.8,10,36.16,38,40.36,329.858,34.229,357.254
801,CHM00058606,29.3,117.2,3,19,35.1,38.2,39.5,32.565,33.917,34.968
