name;lat;long;count;duration;q10_max;q50_max;q90_max;q10_min;q50_min;q90_min
RSM00023032;69,75;61,7;2,8;12,5;14,4;23,75;25,62;9,67741;12,795;13,9521
RSM00023058;69,72;66,8194;2,2;25;18,2448;24,3;27,9;13,8726;16,456;17,4502
RSM00023205;69,08;76,9;3;16;23,7;30,1;33;18,017;19,419;22,653
RSM00023219;67,6331;53,0331;3,6;8,5;23,9;29,4;32,79;17,3855;19,5355;21,8762
RSM00023226;67,0831;59,3831;3,4;11;24,3;29,5;31,8;14,8536;16,585;19,0774
RSM00023242;67,483;64,016;2,2;34;21,14;22,9;28,62;14,3616;15,339;16,9476
RSM00023256;67,6994;72,9494;2,6;28;25,66;28,7;30,7;15,6584;18,143;20,6512
RSM00023274;67,47;78,73;2;45;26,25;30,65;32,3;17,1545;20,309;21,8915
RSM00023305;67,47;86,57;1;92;19,285;19,285;19,285;16,811;16,811;16,811
RSM00023324;66,25;52,583;3,6;11,5;26;29,5;36;17,4066;20,3155;22,2389
RSM00023330;66,43;60,77;2,6;27;26,44;28,5;30,2;16,7874;19,307;20,7146
RSM00023383;66,5294;66,5294;2,6;21;24,6046;28,1;29,82;16,7606;19,371;21,0156
RSM00023405;66,8797;93,47;2,8;15;24,95;29,75;32,28;18,5475;21,595;24,2717
RSM00023412;65,4331;52,2667;3,4;11;24,92;28,7;33,32;17,6206;19,694;22,3174
RSM00023418;65,97;56,9194;3,4;10;26,36;30,9;33,9;19,7092;21,729;24,4994
RSM00023426;65,1167;57,1;2,8;22;20,18;29,2;32,9;16,9894;19,2615;20,0583
RSM00023445;65,382;64,717;2,8;17,5;26,42;30,25;33,8;18,411;21,6675;22,8769
RSM00023463;65,47;72,67;3,2;17,5;28,51;32,1;36,3;20,5658;21,705;23,1847
RSM00023472;65,98;84,27;2,6;24;26,9;30,9;33,2;20,1632;21,665;22,4694
RSM00023518;65,7831;87,9331;1;92;21,373;21,373;21,373;18,896;18,896;18,896
RSM00023527;64,266;57,617;2,6;19;27,96;31,9;33,44;20,395;22,736;23,8486
RSM00023552;64,28;60,88;2,8;23,5;30;30,35;31,6;20,0338;20,938;21,9531
RSM00023606;64,92;77,82;2,4;13;25,5;32,3;32,7;19,3119;22,2515;23,9157
RSM00023625;63,55;53,817;2,6;15;27;31,5;34,38;20,4128;22,666;23,9986
RSM00023631;63,65;62,1;3,2;16,5;23,14;30,45;32,4;18,3871;21,723;22,6114
RSM00023662;63,93;65,05;2,8;18,5;30,07;31,75;33,2;20,9621;22,0605;22,9238
RSM00023678;63,98;82,08;3,4;23;28,58;31,2;33;22,0204;22,995;24,5982
RSM00023711;63,15;87,95;3,4;8;26,7;30,8;33,4;20,3042;23,632;24,7852
RSM00023724;62,7;56,2;3,2;13,5;22,868;29,5;34,75;20,7143;22,225;25,2881
RSM00023734;62,43;60,8694;4,2;10;28,26;29,8;32,6;19,9218;22,622;24,0232
RSM00023803;62,45;66,05;3,2;12;26,8;32,2;33,7;20,0579;22,26;24,7876
RSM00023804;61,683;53,683;3,4;12;26,3;31,8;32,88;21,6296;23,767;25,0374
RSM00023847;61,6667;50,8667;1;92;22,714;22,714;22,714;20,081;20,195;20,195
RSM00023849;61,3;71,3;1;92;21,956;21,956;21,956;19,706;19,706;19,706
RSM00023867;61,25;73,5;3,8;15;26,28;31,5;33,4;19,8718;22,562;24,2578
RSM00023884;61,1;80,25;2,6;23;31,94;33,1;33,5;23,5596;24,628;25,8512
RSM00023891;61,6;90,0167;3;23;29,1;31,5;33;21,373;23,18;24,348
RSM00023909;61,6667;96,3667;3,2;14,5;27,5;30,95;32,1;21,1119;23,7725;25,0754
RSM00023914;60,283;54,35;3,4;13;26,2;30,5;32,32;20,458;23,376;24,3948
RSM00023921;60,4;56,52;3,4;15;26,56;30,9;34,6;21,3008;23,892;25,449
RSM00023929;60,6831;60,45;2,8;18;23,9;32,4;33,5;19,8373;23,9285;24,6638
RSM00023933;60,317;64,217;4;15;28,85;31,3;32,1;20,7835;22,633;24,371
RSM00023955;61,0167;69,1167;3,6;14;28,64;31,5;33,1;22,1022;23,706;24,9034
RSM00023966;60,4331;77,8667;4;15;30,3;31,9;33;22,529;23,6945;25,4515
RSM00023975;60,35;84,08;3,4;17;26;32,3;35;21,3538;22,676;24,6568
RSM00023986;60,35;88,367;2,2;26;28,1;30,3;31,38;20,548;21,308;22,2596
RSM00023987;60,38;93,03;2,4;21;26,61;32,4;34,2;21,0027;22,3975;23,3975
RSM00024125;60,25;90,233;2;38,5;25,6;31,3;31,7;16,087;19,1015;22,3335
RSM00024136;68,5;112,4331;2,8;15,5;25,53;30,5;32,46;17,6493;19,8715;23,022
RSM00024143;68,62;118,33;3,2;12;17,93;28,1;31,05;14,2846;17,4675;22,0439
RSM00024266;68,73;124;3;22;19,5;31,6;35,4;16,475;21,293;24,749
RSM00024329;67,5667;133,4;2,6;23;25,88;32,2;33,2;16,7048;20,584;24,4442
RSM00024343;66,25;114,28;2,6;12;19,16;30,8;31,7;14,395;18,503;22,4128
